"","statename","year","mean_tot_pop_15to64","mean_jail_pop_15to64","mean_aapi_pop_15to64","mean_black_pop_15to64","mean_latinx_pop_15to64","mean_native_pop_15to64","mean_white_pop_15to64","mean_aapi_jail_pop","mean_black_jail_pop","mean_latinx_jail_pop","mean_native_jail_pop","mean_white_jail_pop","aapi_jail_prop","black_jail_prop","latinx_jail_prop","native_jail_prop","white_jail_prop"
"1","CA",1999,865477,3063,105403,57037,292724,5782,404532,110,607,1324,23,909,0.0359125040809664,0.198171727064969,0.432255958210904,0.00750897812602024,0.296767874632713
"2","CA",2000,1172799,3941,148764,80345,371421,7943,564327,95,867,1599,32,1271,0.0241055569652372,0.219994925145902,0.405734585130678,0.0081197665567115,0.322506977924385
"3","CA",2001,1194306,3906,154837,81156,383514,7943,566856,96,969,1537,32,1231,0.0245775729646697,0.248079877112135,0.393497183819764,0.00819252432155658,0.31515616999488
"4","CA",2002,1211926,3898,159971,81816,395590,7908,566640,96,964,1513,36,1183,0.0246280143663417,0.247306310928681,0.388147768086198,0.00923550538737814,0.303488968701898
"5","CA",2003,1228409,4118,164808,82440,407822,7874,565464,111,983,1628,36,1235,0.0269548324429335,0.238708110733366,0.395337542496357,0.00874210781932977,0.299902865468674
"6","CA",2004,1244178,4048,169363,83200,419759,7834,564023,122,952,1681,35,1250,0.0301383399209486,0.235177865612648,0.415266798418972,0.00864624505928854,0.308794466403162
"7","CA",2005,1275274,4169,174582,84105,433510,8116,574961,134,941,1793,41,1334,0.0321420004797313,0.225713600383785,0.430079155672823,0.00983449268409691,0.319980810745982
"8","CA",2006,1287644,4152,179117,84663,444840,8027,570997,136,1001,1806,41,1328,0.0327552986512524,0.241088631984586,0.434971098265896,0.0098747591522158,0.319845857418112
"9","CA",2007,1298775,4276,183353,85000,455843,7947,566631,126,1059,1825,41,1314,0.029466791393826,0.247661365762395,0.426800748362956,0.00958840037418148,0.307296538821328
"10","CA",2008,1311648,4401,187705,85477,468187,7862,562415,125,1049,1875,38,1249,0.028402635764599,0.238354919336514,0.426039536468984,0.00863440127243808,0.283799136559873
"11","CA",2009,1325215,4358,191546,85967,480587,7775,559340,117,1037,1905,40,1215,0.0268471776044057,0.237953189536485,0.437127122533272,0.00917852225791648,0.278797613584213
"12","CA",2010,1338300,4030,195345,86555,492692,7717,555991,106,912,1655,32,1113,0.026302729528536,0.226302729528536,0.410669975186104,0.00794044665012407,0.276178660049628
"13","CA",2011,1349467,3806,199680,87048,501490,7707,553543,98,811,1587,33,1085,0.0257488176563321,0.213084603258014,0.416973200210194,0.00867052023121387,0.28507619548082
"14","CA",2012,1356739,4066,203495,87393,509551,7692,548608,106,911,1721,33,1274,0.0260698475159862,0.224053123462863,0.423266109198229,0.00811608460403345,0.313330054107231
"15","CA",2013,1364563,4375,207633,87564,517496,7654,544216,110,916,1852,36,1358,0.0251428571428571,0.209371428571429,0.423314285714286,0.00822857142857143,0.3104
"16","CA",2014,1373144,4425,211976,87982,525396,7620,540170,122,949,1860,37,1406,0.0275706214689266,0.214463276836158,0.420338983050847,0.00836158192090396,0.31774011299435
"17","CA",2015,1381134,4007,216666,88244,533116,7572,535536,111,790,1632,35,1176,0.0277015223359122,0.197154978787123,0.407287247317195,0.00873471425006239,0.293486398802096
"18","CA",2016,1386633,4018,221029,88365,540198,7514,529528,114,786,1702,34,1188,0.0283723245395719,0.195619711299154,0.423593827775012,0.00846192135390742,0.295669487307118
"19","CA",2017,1389066,4053,224752,88526,546072,7451,522264,110,839,1779,37,1207,0.0271403898346904,0.207007155193684,0.438934122871947,0.00912904021712312,0.297804095731557
"20","CA",2018,1389956,4018,228269,88584,551460,7359,514284,108,815,1777,37,1157,0.0268790443006471,0.202837232453957,0.442259830761573,0.00920856147336984,0.287954206072673
"21","WA",1999,123725,343,8494,4557,8550,2156,99968,8,57,44,18,208,0.0233236151603499,0.166180758017493,0.128279883381924,0.0524781341107872,0.606413994169096
"22","WA",2000,136918,384,9386,4905,9829,2295,110503,9,59,48,18,258,0.0234375,0.153645833333333,0.125,0.046875,0.671875
"23","WA",2001,139363,411,9861,5086,10446,2325,111644,9,66,50,19,281,0.0218978102189781,0.160583941605839,0.121654501216545,0.0462287104622871,0.683698296836983
"24","WA",2002,141412,422,10316,5243,11017,2352,112484,9,69,51,19,278,0.0213270142180095,0.163507109004739,0.12085308056872,0.0450236966824645,0.658767772511848
"25","WA",2003,142985,409,10719,5353,11578,2369,112965,10,63,51,21,266,0.0244498777506112,0.154034229828851,0.124694376528117,0.0513447432762836,0.650366748166259
"26","WA",2004,145027,414,11145,5474,12199,2399,113810,10,64,54,19,266,0.0241545893719807,0.154589371980676,0.130434782608696,0.0458937198067633,0.642512077294686
"27","WA",2005,153358,451,12008,5827,13169,2522,119831,14,71,53,22,303,0.0310421286031042,0.157427937915743,0.117516629711752,0.0487804878048781,0.671840354767184
"28","WA",2006,156371,471,12599,6040,13985,2550,121197,13,76,58,22,305,0.0276008492569002,0.16135881104034,0.123142250530786,0.0467091295116773,0.64755838641189
"29","WA",2007,158590,477,13129,6197,14745,2574,121945,15,80,63,24,309,0.0314465408805031,0.167714884696017,0.132075471698113,0.050314465408805,0.647798742138365
"30","WA",2008,160861,484,13642,6449,15611,2596,122564,14,77,66,26,303,0.0289256198347107,0.159090909090909,0.136363636363636,0.0537190082644628,0.62603305785124
"31","WA",2009,162950,483,14146,6697,16500,2603,123004,14,79,62,24,290,0.0289855072463768,0.163561076604555,0.128364389233954,0.0496894409937888,0.600414078674948
"32","WA",2010,164254,458,14574,6846,17184,2619,123031,14,75,60,24,290,0.0305676855895196,0.163755458515284,0.131004366812227,0.0524017467248908,0.633187772925764
"33","WA",2011,165894,429,15141,7069,17682,2636,123367,14,70,55,22,283,0.0326340326340326,0.163170163170163,0.128205128205128,0.0512820512820513,0.65967365967366
"34","WA",2012,166636,436,15688,7317,18162,2647,122823,12,65,51,20,283,0.0275229357798165,0.149082568807339,0.11697247706422,0.0458715596330275,0.649082568807339
"35","WA",2013,167544,441,16218,7525,18683,2663,122455,15,67,58,22,278,0.0340136054421769,0.151927437641723,0.131519274376417,0.0498866213151927,0.630385487528345
